movie#,title,year,synopsis,critic_score,people_score,consensus,type,genre,director,producer,writer,theater_release,streaming_release,box_office_gross($M),production_co,score_differential
1420,Dogtown and Z-Boys,2001,"""Dogtown and Z-Boys,"" directed and co-written by skateboard legend-turned-filmmaker Stacy Peralta, is the story of a group of accidental revolutionaries, gifted kids who inadvertently changed the world by doing what came naturally. It is also a unique documentary event: a ground-level, eyewitness account of the birth of an organic American pop culture phenomenon.",92.0,88.0,"Dogtown and Z-Boys is a colorful, exhilarating look at the skateboarding subculture.",Sports & Fitness,documentary,Stacy Peralta,Agi Orsi,"Stacy Peralta, Craig Stecyk","Apr 26, 2002 wide","Apr 16, 2012",1.3,"Agi Orsi Productions, Vans Off the Wall",4.0
1421,The Color of Money,1986,"Former pool hustler ""Fast Eddie"" Felson (Paul Newman) decides he wants to return to the game by taking a pupil. He meets talented but green Vincent Lauria (Tom Cruise) and proposes a partnership. As they tour pool halls, Eddie teaches Vincent the tricks of scamming, but he eventually grows frustrated with Vincent's showboat antics, leading to an argument and a falling-out. Eddie takes up playing again and soon crosses paths with Vincent as an opponent.",89.0,73.0,"That it's inferior to the original goes without saying, but Paul Newman and Tom Cruise are a joy to watch, and Martin Scorsese's direction is typically superb.",Sports & Fitness,drama,Martin Scorsese,"Irving Axelrod, Barbara De Fina","Walter Tevis, Richard Price",,"Aug 10, 2016",52.3,Touchstone Pictures,16.0
1422,Up for Grabs,2004,"During the final leg of Major League Baseball's 2001 season, Giants batter Barry Bonds scores a historic 73rd home run at San Francisco's Pac Bell Park. Victorious in the ensuing scuffle for control of the record-breaking ball is spectator Patrick Hayashi -- a notion disputed by nearby Alex Popov, who claims Hayashi wrestled the ball from him. Director Michael Wranovics examines the resulting court battle, the media circus following the event and the obsessed fans behind the controversy.",92.0,87.0,"You don't have to be a baseball fan to be entertained by the absurdities, obsessions, and greed on display in this documentary.",Sports & Fitness,documentary,Michael Wranovics,Michael Wranovics,Michael Wranovics,,,0.0019,Crooked Lines Productions LLC,5.0
1423,Hoosiers,1986,"Failed college coach Norman Dale (Gene Hackman) gets a chance at redemption when he is hired to direct the basketball program at a high school in a tiny Indiana town. After a teacher (Barbara Hershey) persuades star player Jimmy Chitwood to quit and focus on his long-neglected studies, Dale struggles to develop a winning team in the face of community criticism for his temper and his unconventional choice of assistant coach: Shooter (Dennis Hopper), a notorious alcoholic.",89.0,88.0,"It may adhere to the sports underdog formula, but Hoosiers has been made with such loving craft, and features such excellent performances, that it's hard to resist.",Sports & Fitness,drama,David Anspaugh,"Angelo Pizzo, Carter De Haven",Angelo Pizzo,,"Sep 20, 2015",25.8,Hemdale Film Corporation [us],1.0
1424,Girlfight,2000,"Newcomer Michelle Rodriguez in an astounding performance alongside Jaime Tirelli, Paul Calderon and Santiago Douglas. Nothing comes easy for Diana Guzman, a troubled girl on the brink of womanhood. Her teachers don't understand her, her father underestimates her and her friends are few. Diana struggles to find respect and dignity every day. Diana is a quick tempered young woman who finds discipline, self-respect and love in the most unlikely place -- a boxing ring.",88.0,75.0,"Michelle Rodriguez gives a compelling performance, despite lack of a boxing background; Karyn Kusama packs a punch with this directorial debut.",Sports & Fitness,drama,Karyn Kusama,,Karyn Kusama,"Sep 29, 2000 wide","May 13, 2016",1.5,"Independent Film Channel, Green/Renzi",13.0
1425,Tristram Shandy: A Cock and Bull Story,2005,A director tries to shoot an adaptation of a novel that is considered to be impossible to film.,88.0,66.0,"Steve Coogan and Rob Brydon add madcap, knowing performances to the mix, and the result is a fun, postmodern romp.",Sports & Fitness,comedy,Michael Winterbottom,,Martin Hardy,,"Jan 28, 2017",1.2,BBC,22.0
1427,Field of Dreams,1989,"When Iowa farmer Ray (Kevin Costner) hears a mysterious voice one night in his cornfield saying ""If you build it, he will come,"" he feels the need to act. Despite taunts of lunacy, Ray builds a baseball diamond on his land, supported by his wife, Annie (Amy Madigan). Afterward, the ghosts of great players start emerging from the crops to play ball, led by ""Shoeless"" Joe Jackson. But, as Ray learns, this field of dreams is about much more than bringing former baseball greats out to play.",87.0,86.0,"Field of Dreams is sentimental, but in the best way; it's a mix of fairy tale, baseball, and family togetherness.",Sports & Fitness,fantasy,Phil Alden Robinson,"Charles Gordon, Lawrence Gordon",,,"Jun 15, 2012",61.8,Gordon Company,1.0
1428,The Heart of the Game,2005,"Filmed over a period of seven years, director Ward Serrill profiles Bill Resler, a university professor who coaches a basketball team comprised of high-school girls. Darnellia Russell, one of the team's few black players, also comes into focus as she struggles to stay on the team despite major obstacles.",87.0,83.0,This group of high school girls and their eccentric basketball coach easily win your heart with their unusual humanity and dynamism.,Sports & Fitness,documentary,Ward Serrill,"Ward Serrill, Liz Manne",Ward Serrill,,"Apr 19, 2016",0.44410000000000005,Woody Creek,4.0
1429,Tyson,2008,"Former heavyweight boxing champion Mike Tyson reflects on his tumultuous life both in and out of the ring. Filmmaker James Toback offers up a complex portrait of the man, as the two discuss Tyson's time in juvenile detention, his relationship with mentor Cus D'Amato, his boxing career, and the rape charge that landed him in prison.",85.0,79.0,"A fascinating, emotional, and frank confessional from Iron Mike that sheds a sympathetic light on one of boxing's most controversial icons.",Sports & Fitness,documentary,James Toback,"Damon Bingham, James Toback",,"Apr 24, 2009 limited","Apr 16, 2012",0.8871,"Defiance Entertainment, Wild Bunch",6.0
1430,The Hurricane,1999,"Denzel Washington is Rubin ""Hurricane"" Carter, a man whose dreams of winning the middleweight boxing title were destroyed when he was arrested along with another man for the murders of 3 people in a New Jersey bar. Wrongfully accused, Carter and John Artis were sentenced to 3 life terms in prison.",83.0,87.0,"Thanks in large part to one of Denzel Washington's most powerful on-screen performances, The Hurricane is a moving, inspirational sports drama, even if it takes few risks in telling its story.",Sports & Fitness,drama,Norman Jewison,Armyan Bernstein,Armyan Bernstein,"Jan 14, 2000 wide","Feb 12, 2014",50.7,"Universal Pictures, Beacon Communications, Azoff Entertainment",-4.0
1432,Looking for Eric,2009,"Ever since his wife (Stephanie Bishop) left him, Eric Bishop's (Steve Evets) life has fallen apart. His two teen sons (Gerard Kearns, Stefan Gumbs) have little regard for him, his job at the post office is increasingly unfulfilling and he ends up in the hospital after a car crash. One night, he smokes marijuana and has a vision of his favorite Manchester United soccer player: Eric Cantona. With the help of his idol and his daughter (Lucy-Jo Hudson), Eric tries to get his life straightened out.",85.0,78.0,"Ken Loach's latest is an uplifting, entertaining and amusing socio-drama featuring a match-winning performance from Eric Cantona.",Sports & Fitness,"comedy, drama",Ken Loach,"Tim Cole, Rebecca O'Brien",Paul Laverty,"May 14, 2010 limited","Apr 10, 2017",0.055799999999999995,Tornasol Films S.A.,7.0
1433,The Armstrong Lie,2013,"Filmmaker Alex Gibney chronicles Lance Armstrong's attempt to return to cycling, his admission of doping and subsequent fall from grace.",82.0,76.0,"Smartly constructed and scathingly sharp, The Armstrong Lie presents an effective indictment of its unscrupulous subject -- as well as the sports culture that spawned him.",Sports & Fitness,documentary,Alex Gibney,"Alex Gibney, Frank Marshall, Matt Tolmach",Alex Gibney,"Nov 8, 2013 limited","Jun 26, 2015",0.3817,"Jigsaw Prods., Kennedy/Marshall, Matt Tolmach",6.0
1434,Major League,1989,"The new owner of the Cleveland Indians, former showgirl Rachel Phelps (Margaret Whitton), has a sweetheart deal to move the team to Miami. But to break the lease with the city of Cleveland, ticket sales have to plummet. So Phelps hires the most incompetent players available, including near-blind pitcher Rick Vaughn (Charlie Sheen) and injury-prone catcher Jake Taylor (Tom Berenger). But her villainous tactics accidentally foster a can-do team spirit, turning the Indians into potential winners.",83.0,84.0,"Major League may be predictable and formulaic, but buoyed by the script's light, silly humor -- not to mention the well-built sports action sequences and funny performances.",Sports & Fitness,comedy,David S. Ward,"Chris Chesser, Irby Smith",,,"Aug 1, 2013",49.8,Morgan Creek Productions,-1.0
1435,Go Tigers!,2001,"""Go Tigers!"" is a rare behind-the-scenes chronicling of a remarkable season for the Massillon Tiger's high school football team, played out in a small town that draws its identity from football. During the course of the season, three young stars emerge who are forced to carry the burden of the town and their teammates as they confront their uncertain future. The film was shot on location in Ohio on High Definition video.",85.0,68.0,Go Tigers! is an absorbing and evenhanded documentary that takes a perceptive look at the world of high school sports and its impact on a community.,Sports & Fitness,documentary,Kenneth A. Carlson,"Kenneth A. Carlson, Sidney Sherman",Kenneth A. Carlson,"Sep 21, 2001 wide","Jan 8, 2017",0.1517,Triple Play Pictures,17.0
1437,Goon,2011,"Though a misfit among his brainy family members, Massachusetts bouncer Doug Glatt (Seann William Scott) has a knockout punch that lands him a spot on a minor-league Canadian hockey team.",81.0,71.0,Goon is a crude slapstick comedy with well-formed characters and a surprising amount of heart.,Sports & Fitness,"comedy, biography",Michael Dowse,"Don Carmody, David Gross, Andre Rouleau, Ian Dimerman, Jay Baruchel","Jay Baruchel, Evan Goldberg","Mar 30, 2012 limited","Aug 10, 2016",4.2,"No Trace Camping, Caramel Films",10.0
1438,Beyond the Mat,1999,"""Beyond the Mat,"" Barry Blaustein's honest, intimate, revealing, highly entertaining, and critically acclaimed behind-the-scenes look at wrestling, takes viewers beyond the ring and into the lives of the men and women who inhabit this colorful, competitive, and surprisingly complex world.",82.0,83.0,"Even if you aren't a fan, Beyond the Mat provides a riveting, perceptive look into the world of professional wrestling by taking a closer look at the people beneath the personas.",Sports & Fitness,documentary,Barry W. Blaustein,"Barry W. Blaustein, Barry Bloom, Brian Grazer, Ron Howard",Barry W. Blaustein,"Mar 17, 2000 wide","Aug 10, 2016",2.0,"Imagine Entertainment, Lions Gate Entertainment",-1.0
1439,Invictus,2009,"Following the fall of apartheid, newly elected President Nelson Mandela (Morgan Freeman) faces a South Africa that is racially and economically divided. Believing he can unite his countrymen through the universal language of sport, Mandela joins forces with Francois Pienaar (Matt Damon), captain of the rugby team, to rally South Africans behind a bid for the 1995 World Cup Championship.",76.0,75.0,"Delivered with typically stately precision by director Clint Eastwood, Invictus may not be rousing enough for some viewers, but Matt Damon and Morgan Freeman inhabit their real-life characters with admirable conviction.",Sports & Fitness,"drama, biography",Clint Eastwood,"Clint Eastwood, Lori McCreary, Robert Lorenz, Mace Neufeld",Anthony Peckham,"Dec 11, 2009 limited","Oct 23, 2011",37.5,"Malpaso Company, Mace Neufeld Productions, Revelations Entertainment",1.0
1440,The Boxer,1997,"Rising teen boxer and Belfast native Danny Flynn (Daniel Day-Lewis) was imprisoned for 14 years after getting involved with the Irish Republican Army. Newly freed from jail in his early 30s, Danny returns home and attempts to put his life back together. Reopening his neighborhood gym and reconnecting with his lost love, Maggie (Emily Watson), now a single mother while her husband is in prison, Danny battles against his former IRA compadres, including the militant Harry (Gerard McSorley).",80.0,74.0,The Boxer is a standard drama that packs a true emotional wallop thanks to the highly tuned central performances.,Sports & Fitness,drama,Jim Sheridan,"Arthur Lappin, Jim Sheridan","Jim Sheridan, Terry George","Dec 19, 1997 wide","Mar 5, 2016",5.8,"Universal Pictures, Hell's Kitchen Films",6.0
1441,Vision: From the Life of Hildegard von Bingen,2009,"Gifted writer, composer, herbalist and more, a Benedictine nun (Barbara Sukowa) works to expand the status and responsibilities of women within her order.",83.0,71.0,"Beautifully filmed and suitably reverent, Vision: From the Life of Hildegard von Bingen examines the life of the 12th-century mystic and finds compelling modern parallels.",Sports & Fitness,"drama, biography",Margarethe von Trotta,Markus Zimmer,Margarethe von Trotta,"Oct 13, 2010 limited","Oct 12, 2016",0.4319,"ARD Degeto Film, Celluloid Dreams",12.0
1442,A League of Their Own,1992,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey (Garry Marshall). Competitive sisters Dottie Hinson (Geena Davis) and Kit Keller (Lori Petty) spar with each other, scout Ernie Capadino (Jon Lovitz) and grumpy has-been coach Jimmy Dugan (Tom Hanks) on their way to fame. Madonna and Rosie O'Donnell co-star as two of the sisters' teammates.",78.0,84.0,"Sentimental and light, but still thoroughly charming, A League of Their Own is buoyed by solid performances from a wonderful cast.",Sports & Fitness,"comedy, drama",Penny Marshall,"Robert Greenhut, Elliot Abbott","Kelly Candaele, Lowell Ganz, Babaloo Mandel",,"Apr 16, 2012",105.1,"Parkway Productions, Columbia Pictures Corporation",-6.0
1443,Step Into Liquid,2003,"In a documentary shot in waters all over the globe, director Dana Brown takes on tall waves and surfers who live to challenge them. The film treks from the Irish coast, where a trio of American brothers take on the Atlantic surf, to Rapa Nui in the Pacific, where the Easter Island statues gaze out at board-riding daredevils. Brown also finds good surfing in unlikely places, like Wisconsin and Texas, and charts the rise of female surfers in a sport traditionally dominated by males.",81.0,93.0,A perfect companion piece to The Endless Summer.,Sports & Fitness,documentary,Dana Brown,John-Paul Beeghly,,"Aug 15, 2003 wide","Jan 7, 2017",3.7,Gotham Group,-12.0
1444,Once in a Lifetime: The Extraordinary Story of the New York Cosmos,2006,"This documentary looks back on a time when soccer briefly captured America's attention. The film profiles the North American Soccer League franchise the New York Cosmos and the sensation it created back in the 1970s. Using archival footage, old photos and anecdotes from former players and businessmen, it tells the story -- or several conflicting stories -- of a team starring Brazilian soccer legend Pele, formed by non-sports people and ultimately submarined by the league's excessive expansion.",81.0,80.0,"You don't have to be a soccer fan to enjoy this stylish, breezy slice of 1970s sports history.",Sports & Fitness,documentary,"Paul Crowder, John Dower",,Mark Monroe,,"Nov 23, 2016",0.1444,Passion Pictures,1.0
1445,Fed Up,2014,Filmmaker Stephanie Soechtig and journalist Katie Couric investigate how the American food industry may be responsible for more sickness than previously realized.,80.0,84.0,"Compelling and troubling in equal measure, Fed Up is an advocacy documentary that earns its outrage.",Sports & Fitness,documentary,Stephanie Soechtig,"Eve Marson, Sarah Olson, Stephanie Soechtig","Stephanie Soechtig, Mark Monroe","May 9, 2014 limited","Nov 2, 2016",1.5,,-4.0
1446,Stoked: The Rise and Fall of Gator,2003,"This documentary film explores the life of former skateboarding pro Mark ""Gator"" Rogowski, who, in 1991, was sentenced to 31 years in jail after raping and murdering a female acquaintance. Filmmaker Helen Stickler chronicles Rogowski's tragic journey from cool, confident skateboarding icon to convicted murderer. His struggles with alcoholism and depression are also explored, and skate legends such as Tony Hawk and Stacy Peralta offer first-hand accounts of their experiences with Rogowski.",81.0,74.0,"The harder they come, the harder they fall -- this film shows, in raw, gripping detail, that even skater dudes can't resist the life of the rich and famous. It's more poignant than hard-core, and gives us a portrait of a life run over by the whims of the entertainment industry.",Sports & Fitness,documentary,Helen Stickler,Helen Stickler,,,"Aug 16, 2005",0.13169999999999998,,7.0
1447,Talladega Nights: The Ballad of Ricky Bobby,2006,"NASCAR superstar Ricky Bobby (Will Ferrell) is at the top of his game; adored by fans, a trophy wife by his side, and incredible wealth. But Ricky loses it all when French Formula One champion Jean Girard (Sacha Baron Cohen) roars onto the scene. Ricky, with the help of his ruthless father, must pull himself out of the depths of despair and restore his honor on the racetrack.",71.0,73.0,"Though it occasionally stalls, Talladega Nights' mix of satire, clever gags, and excellent ensemble performances put it squarely in the winner's circle.",Sports & Fitness,comedy,Adam McKay,"Judd Apatow, Jimmy Miller","Will Ferrell, Adam McKay","Aug 4, 2006 wide","Apr 16, 2012",148.2,"Apatow Productions, High, Wide and Handsome Inc.",-2.0
1448,Invincible,2006,"Lifelong football fan Vince Papale (Mark Wahlberg) sees his wildest dreams come true when he becomes a member of the Philadelphia Eagles. While teaching at his high-school alma mater in Pennsylvania, the 30-year-old gets a chance to try out for his favorite team and, except for kickers, becomes the oldest rookie in NFL history who never played football in college.",72.0,73.0,"As simple and authentic as the gritty South Philly invirons in which it's set in, Invincible sends a uplifting and heartfelt message packed with an athletic enthusiasm that shouldn't be missed.",Sports & Fitness,"drama, biography",Ericson Core,"Gordon Gray, Mark Ciardi, Ken Mok",Brad Gann,"Aug 25, 2006 wide","May 27, 2016",57.8,"Walt Disney Pictures, Who's Nuts Productions, Mayhem Pictures",-1.0
1449,Ultimate X: The Movie,2002,"Bruce Hendricks highlights events of the 2001 Summer X Games, including skateboarding, BMX biking and the street luge.",74.0,43.0,"Taking full advantage of the large IMAX screen, Ultimate X is a thrill ride for extreme sports junkies and novices alike.",Sports & Fitness,documentary,Bruce Hendricks,Arthur F. Repola,Bruce Hendricks,,,4.2,ESPN,31.0
1451,The Blind Side,2009,"Michael Oher (Quinton Aaron), a homeless black teen, has drifted in and out of the school system for years. Then Leigh Anne Tuohy (Sandra Bullock) and her husband, Sean (Tim McGraw), take him in. The Tuohys eventually become Michael's legal guardians, transforming both his life and theirs. Michael's tremendous size and protective instincts make him a formidable force on the gridiron, and with help from his new family and devoted tutor, he realizes his potential as a student and football player.",66.0,85.0,"It might strike some viewers as a little too pat, but The Blind Side has the benefit of strong source material and a strong performance from Sandra Bullock.",Sports & Fitness,"drama, biography",John Lee Hancock,"Gil Netter, Broderick Johnson, Andrew A. Kosove",John Lee Hancock,"Nov 20, 2009 wide","Oct 1, 2013",256.0,Gil Netter,-19.0
1452,More Than a Game,2008,"Filmmaker Kristopher Belman chronicles the early career of basketball superstar LeBron James. James and four other talented teammates were a powerhouse combination at St. Vincent-St. Mary High School in Akron, Ohio. The five star athletes burned up the courts throughout Ohio, but James' ever-increasing celebrity threatened to tear apart all the five had worked so hard to achieve.",71.0,86.0,"Though the film may not delve as deep as some would prefer, More Than a Game is an inspiring documentary featuring likable youngsters, a positive message, and some exciting in-game footage.",Sports & Fitness,documentary,Kristopher Belman,Kristopher Belman,"Kristopher Belman, Brad Hogan","Oct 2, 2009 limited","Dec 19, 2015",0.9445,Harvey Mason Media,-15.0
1453,Secretariat,2010,"Despite her lack of experience, housewife and mother Penny Chenery (Diane Lane) agrees to take over management of the family Thoroughbred farm after her father (Scott Glenn) becomes ill. Successfully navigating her way through the male-dominated world of horse racing, Chenery, together with veteran trainer Lucien Laurin (John Malkovich), fosters a gifted colt that ultimately crosses the finish line into history as the Triple Crown winner in 1973.",63.0,76.0,"Rousing, heartwarming, and squarely traditional, Secretariat offers exactly what you'd expect from an inspirational Disney drama -- no more, and no less.",Sports & Fitness,"drama, biography",Randall Wallace,"Mark Ciardi, Gordon Gray",Mike Rich,"Oct 8, 2010 wide","Nov 23, 2015",59.7,Mayhem Pictures,-13.0
1454,The Sandlot,1993,"When Scottie Smalls (Thomas Guiry) moves to a new neighborhood, he manages to make friends with a group of kids who play baseball at the sandlot. Together they go on a series of funny and touching adventures. The boys run into trouble when Smalls borrows a ball from his stepdad that gets hit over a fence.",63.0,89.0,"It may be shamelessly derivative and overly nostalgic, but The Sandlot is nevertheless a genuinely sweet and funny coming-of-age adventure.",Sports & Fitness,"kids and family, comedy, drama",David Mickey Evans,"Dale De La Torre, William S. Gilmore","David Mickey Evans, Robert Gunter","Apr 1, 1993 wide","Jul 20, 2015",31.7,"Twentieth Century Fox, Island World",-26.0
1455,Dust to Glory,2005,"It has a reputation as the most dangerous race in the world: the Tecate SCORE Baja 1000 in Mexico. But every year, this one-of-a-kind event draws fans and enthusiasts determined to brave the harsh course, which includes deserts, swaths of cactus and the metallic carcasses of vehicles left for dead. This documentary about the 24-hour race includes interviews with drivers of everything from bikes to trucks, and from celebrities of the racing world to those looking for their first shot at glory.",60.0,91.0,Amazing footage from the Baja off-road race will give viewers an adrenaline rush.,Sports & Fitness,documentary,Dana Brown,"Mike McCoy, Scott Waugh",,"Apr 1, 2005 wide","Dec 5, 2016",0.64,BronWa Pictures,-31.0
1456,NASCAR,2004,"Filmmaker Simon Wincer follows racers who are traveling, and sometimes crashing, at nearly 200 mph; narrated by Kiefer Sutherland.",61.0,88.0,"A thrill ride for fans, but those looking for a deeper experience will be choking on exhaust.",Sports & Fitness,documentary,Simon Wincer,"Lorne Orleans, Doug Hylton",,,"May 7, 2015",20.0,"Warner Brothers, NASCAR, IMAX Corporation",-27.0
1457,Glory Road,2006,"After being appointed the new coach of the 1966 Texas Miners, Don Haskins (Josh Lucas) decides to build a team based on talent rather than race. The conservative townsfolk balk at the new racially diverse lineup despite the fact that the team is winning all their games. When black players like Bobby Joe Hill (Derek Luke) and team captain Harry Flournoy (Mehcad Brooks) begin to dominate the court with flashy moves, the racial tension increases, jeopardizing the future of the team.",55.0,81.0,"As formulaic as sports movies get, this underdog story still triumphs on the strength of its inspiring story.",Sports & Fitness,drama,James Gartner,Jerry Bruckheimer,Christopher Cleveland,"Jan 13, 2006 wide","Dec 23, 2015",42.6,Bruckheimer Films,-26.0
1458,Because of Winn-Dixie,2005,"Abandoned by her mother years ago, Opal (AnnaSophia Robb), a 10-year-old girl, moves with her preacher father (Jeff Daniels) to a small town in Florida. Lonely and missing her old friends, Opal is ecstatic to find companionship with a rambunctious little dog she names Winn-Dixie, after the store where she found the pup. With Winn-Dixie's help, Opal befriends several colorful townsfolk (Cicely Tyson, Eva Marie Saint, Dave Matthews) and even begins mending her relationship with her father.",55.0,63.0,"An old-fashioned, if bland, adaptation of Kate DiCamillo's novel.",Sports & Fitness,"kids and family, drama",Wayne Wang,Trevor Albert,,"Feb 18, 2005 wide","Nov 25, 2015",32.6,"20th Century Fox, Winn Productions",-8.0
1459,The Perfect Game,2008,"Amid the poverty of Monterrey, Mexico, a ragtag group of boys discovers the joys of sandlot baseball, thanks to the guidance of a coach (Clifton Collins Jr.) who had once hoped to make it in the major leagues. Armed with a dream of playing in the Little League, the boys defy the odds, setting off on an unprecedented winning streak that leads them across the border to America and the 1957 Little League World Series.",57.0,70.0,"It's bogged down with an unfocused script and countless sports movie cliches, but The Perfect Game still manages to charm with its unabashed sweetness and a stirring final act.",Sports & Fitness,"kids and family, drama",William Dear,"Mark W. Koch, Daniel de Liege, David Salzberg, Christian Tureaud, W. William Winokur, Michael O. Gallant",W. William Winokur,"Apr 16, 2010 limited","Apr 17, 2017",1.1,"IndustryWorks Pictures, Prelude Pictures, Highroad",-13.0
1460,Steep,2007,"This documentary tracks the history of extreme skiing, from its advent in the 1960s through its development into a popular modern sport. The story begins with legendary skier Bill Briggs descending Wyoming's Grand Teton Mountain and continues with the extraordinary feats of skiing pioneer Doug Coombs and others. Including incredible and beautiful footage from various remote ski locations in Canada, Alaska and Iceland, the film also features narration by actor Peter Krause.",54.0,70.0,Steep is a mixed bag of breathtaking mountain footage and yawn-inducing banter.,Sports & Fitness,documentary,Mark Obenhaus,"Jordan Kronick, Gabrielle Tenenbaum",Mark Obenhaus,"Dec 21, 2007 limited","Apr 16, 2012",0.25980000000000003,High Ground Productions,-16.0
1461,First Descent,2005,Snowboarders discuss the sport's history and challenges as they prepare to tackle the mountains of Alaska.,52.0,86.0,"This snowboarding doc scores with its dazzling array of snowboarding stunts and beautiful scenery, but loses points with shameless product placement and an overlong runtime.",Sports & Fitness,documentary,"Kemp Curly, Kevin Harrison","Kemp Curly, Kevin Harrison",Kevin Harrison,,"Feb 21, 2006",0.7508,Universal/Universal Int,-34.0
1462,Soul Surfer,2011,"A natural talent in the sport of surfing, teenager Bethany Hamilton (AnnaSophia Robb) loses an arm in a shark attack. Bolstered by the love of her parents (Helen Hunt, Dennis Quaid) and refusing to give up, she plans to return to competition, although questions about her future continue to trouble her. Upon seeing the devastation in Thailand caused by the 2004 tsunami, Bethany discovers a greater purpose: to make a difference in the lives of others.",45.0,75.0,"There's an amazing true story at the heart of Soul Surfer -- and unfortunately, it's drowned by waves of Hollywood cheese.",Sports & Fitness,drama,Sean McNamara,"David Zelon, Douglas Schwartz, Dutch Hofstetter, David Brookwell, Sean McNamara","Sean McNamara, Deborah Schwartz, Douglas Schwartz, Michael Berk","Apr 8, 2011 wide","Apr 16, 2012",43.9,Island Film Group,-30.0
1463,The Replacements,2000,"It's late in the season; the playoffs are fast approaching; and the Washington Sentinels have just gone on strike. Scrambling for a solution, the Sentinels' owner Edward O'Neil hatches a plan to bring in legendary coach Jimmy McGinty to recruit a team of replacement players in exactly one week. For fans and owners alike, the strike is a disaster. But for Shane Falco and a mismatched crew of outsiders, it is the second chance they've waited their whole lives for.",41.0,66.0,The cliched characters and obvious outcome make all the fun and excitement amount to nothing.,Sports & Fitness,comedy,Howard Deutch,,Vince McKewin,"Aug 11, 2000 wide","Mar 4, 2009",44.7,"Warner Brothers, Bel Air Entertainment",-25.0
1464,Beerfest,2006,"Two brothers (Erik Stolhanske, Paul Soter) from America happen upon a secret and centuries-old beer-games competition during a visit to Germany's Oktoberfest. After losing badly, they return to America, assemble an impressive team of brew-lovers and return to Germany for a rematch.",41.0,75.0,"Beerfest features some laugh-inducing gags, but is too long and the pacing too uneven to form a coherent, functioning comedy.",Sports & Fitness,comedy,Jay Chandrasekhar,Bill Gerber,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske","Aug 25, 2006 wide","Sep 11, 2015",19.2,"Broken Lizard Productions, Gerber Pictures",-34.0
1465,Goal! The Dream Begins,2005,"Santiago Muñez, a Mexican cook in Los Angeles, gets a chance to follow his dream of playing professional soccer. A talent scout with contacts in the United Kingdom spots him and offers a once-in-a-lifetime chance: If he can find a way to England, he can try out for the Newcastle United team. Gavin Harris, a star player, takes young Santiago under his wing and helps him prove himself to his disbelieving father.",42.0,77.0,"Impressive sports action sequences are the highlight, as the run-of the-mill story invokes every known sports movie cliche.",Sports & Fitness,drama,Danny Cannon,"Mike Jefferies, Matt Barrelle","Mike Jefferies, Adrian Butchart","May 12, 2006 wide","Aug 10, 2016",4.3,"Revolution Films, Milkshake Films",-35.0
1466,Grudge Match,2013,"Pittsburgh boxers Billy ""The Kid"" McDonnen (Robert De Niro) and Henry ""Razor"" Sharp (Sylvester Stallone) shared a fierce rivalry back in the 1980s. Each had scored a victory in two matches, but on the eve of their decisive third bout, Henry suddenly announced his retirement, effectively ending both boxers' careers. Thirty years later, boxing promoter Dante Slate Jr. (Kevin Hart) makes Billy and Henry an offer they can't refuse: Return to the ring and settle the score once and for all.",31.0,46.0,"Grudge Match is sporadically funny but meandering, and its strong cast largely mired in a plot that's overrun with clichés.",Sports & Fitness,comedy,Peter Segal,"Bill Gerber, Mark Steven Johnson, Michael Ewing, Peter Segal, Ravi Mehta","Tim Kelleher, Rodney Rothman","Dec 25, 2013 wide","Dec 12, 2015",29.8,"Gerber Pictures, Callahan Filmworks",-15.0
1467,Jiminy Glick in Lalawood,2004,"A celebrity interviewer (Martin Short) and his wife (Jan Hooks) become tangled in a murder mystery involving a boozy actress, her family and her publicist.",22.0,32.0,A television sketch streatched to feature length.,Sports & Fitness,comedy,Vadim Jean,,Martin Short,,"Dec 1, 2018",0.0257,Gold Circle Films,-10.0
1468,Playing for Keeps,2012,"Long past his soccer-playing heyday, George Dryer (Gerard Butler) is struggling financially and failing in his attempt to reconcile with his ex-wife, Stacie (Jessica Biel), and young son, Lewis (Noah Lomax). When Lewis' soccer team has an opening for a coach, George steps up. Not only is George a big hit with the children, but he also attracts lots of attention from some of the players' single and unhappily married mothers (Uma Thurman, Catherine Zeta-Jones).",4.0,41.0,"Witless, unfocused, and arguably misogynistic, Playing for Keeps is a dispiriting, lowest-common-denominator Hollywood rom-com.",Sports & Fitness,romance,Gabriele Muccino,"Jonathan Mostow, Kevin Misher, Gerard Butler, Alan Siegel, Heidi Jo Markel, John Thompson",Robbie Fox,"Dec 7, 2012 wide","Mar 5, 2013",13.1,"Gerard Butler Alan Siegel Entertainment, Misher Films, Eclectic Pictures, York Square Productions, Nu Image",-37.0
1469,Life Itself,2014,"Filmmaker Steve James chronicles the life of film critic Roger Ebert, especially his career highlights, his battle with alcohol, and his sometimes ruthless rivalry with fellow critic Gene Siskel.",98.0,88.0,"Rich in detail and warmly affectionate, Life Itself offers a joyful yet poignant tribute to a critical cinematic legacy.",Television,documentary,Steve James,"Zak Piper, Steve James, Garrett Basch",,"Jul 4, 2014 limited","May 22, 2016",0.8097000000000001,"Kartemquin Films, Film Rites",10.0
